report_id,report_type,start_date,end_date,report_content
121,Monthly,2024-07-15,2024-08-13,"Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.49, Std Dev: 0.45. Mean process: 51.97, Std Dev: 10.2. Raw milk volume: 267033 liters."
122,Weekly,2024-07-05,2024-07-11,"Weekly production summary: Total output 39446 liters. Quality metrics within acceptable ranges. Mean quality: 3.42, Std Dev: 0.43. Mean process: 56.77, Std Dev: 8.92. Raw milk volume: 56228 liters."
123,Monthly,2024-04-30,2024-05-29,"Monthly overview: Production increased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.67, Std Dev: 0.54. Mean process: 59.96, Std Dev: 11.48. Raw milk volume: 200221 liters."
124,Weekly,2024-07-01,2024-07-07,"Weekly production summary: Total output 37066 liters. Quality metrics within acceptable ranges. Mean quality: 3.51, Std Dev: 0.46. Mean process: 67.62, Std Dev: 10.54. Raw milk volume: 52292 liters."
125,Monthly,2024-08-21,2024-09-19,"Monthly overview: Production decreased by 0% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.4, Std Dev: 0.49. Mean process: 55.62, Std Dev: 8.62. Raw milk volume: 286951 liters."
126,Weekly,2024-09-08,2024-09-14,"Weekly production summary: Total output 34920 liters. Quality metrics within acceptable ranges. Mean quality: 3.59, Std Dev: 0.6. Mean process: 53.01, Std Dev: 10.56. Raw milk volume: 66617 liters."
127,Monthly,2024-08-29,2024-09-27,"Monthly overview: Production increased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.43, Std Dev: 0.48. Mean process: 57.04, Std Dev: 9.14. Raw milk volume: 242753 liters."
128,Monthly,2024-09-04,2024-10-03,"Monthly overview: Production decreased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.5, Std Dev: 0.46. Mean process: 61.35, Std Dev: 9.95. Raw milk volume: 272667 liters."
129,Weekly,2024-05-29,2024-06-04,"Weekly production summary: Total output 36888 liters. Quality metrics within acceptable ranges. Mean quality: 3.48, Std Dev: 0.45. Mean process: 57.12, Std Dev: 10.76. Raw milk volume: 62423 liters."
130,Weekly,2024-08-19,2024-08-25,"Weekly production summary: Total output 39324 liters. Quality metrics within acceptable ranges. Mean quality: 3.55, Std Dev: 0.45. Mean process: 60.5, Std Dev: 10.75. Raw milk volume: 59861 liters."
131,Monthly,2024-08-06,2024-09-04,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.33, Std Dev: 0.53. Mean process: 56.69, Std Dev: 10.57. Raw milk volume: 239829 liters."
132,Monthly,2024-06-01,2024-06-30,"Monthly overview: Production increased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.42, Std Dev: 0.41. Mean process: 51.86, Std Dev: 10.05. Raw milk volume: 276019 liters."
133,Monthly,2024-07-21,2024-08-19,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.53, Std Dev: 0.45. Mean process: 63.19, Std Dev: 8.34. Raw milk volume: 257954 liters."
134,Weekly,2024-07-30,2024-08-05,"Weekly production summary: Total output 37752 liters. Quality metrics within acceptable ranges. Mean quality: 3.49, Std Dev: 0.44. Mean process: 56.74, Std Dev: 10.05. Raw milk volume: 55560 liters."
135,Weekly,2024-06-16,2024-06-22,"Weekly production summary: Total output 38445 liters. Quality metrics within acceptable ranges. Mean quality: 3.41, Std Dev: 0.48. Mean process: 65.03, Std Dev: 9.42. Raw milk volume: 60983 liters."
136,Weekly,2024-09-27,2024-10-03,"Weekly production summary: Total output 33848 liters. Quality metrics within acceptable ranges. Mean quality: 3.58, Std Dev: 0.44. Mean process: 62.65, Std Dev: 11.44. Raw milk volume: 60171 liters."
137,Weekly,2024-09-25,2024-10-01,"Weekly production summary: Total output 33262 liters. Quality metrics within acceptable ranges. Mean quality: 3.25, Std Dev: 0.46. Mean process: 62.89, Std Dev: 9.8. Raw milk volume: 54828 liters."
138,Weekly,2024-04-30,2024-05-06,"Weekly production summary: Total output 34011 liters. Quality metrics within acceptable ranges. Mean quality: 3.54, Std Dev: 0.47. Mean process: 60.43, Std Dev: 9.84. Raw milk volume: 65569 liters."
139,Weekly,2024-07-19,2024-07-25,"Weekly production summary: Total output 36790 liters. Quality metrics within acceptable ranges. Mean quality: 3.62, Std Dev: 0.51. Mean process: 61.69, Std Dev: 9.59. Raw milk volume: 68863 liters."
140,Weekly,2024-09-08,2024-09-14,"Weekly production summary: Total output 36291 liters. Quality metrics within acceptable ranges. Mean quality: 3.45, Std Dev: 0.48. Mean process: 61.97, Std Dev: 9.58. Raw milk volume: 66199 liters."
141,Monthly,2024-06-08,2024-07-07,"Monthly overview: Production decreased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.53, Std Dev: 0.6. Mean process: 64.36, Std Dev: 9.67. Raw milk volume: 285990 liters."
142,Weekly,2024-10-12,2024-10-18,"Weekly production summary: Total output 31746 liters. Quality metrics within acceptable ranges. Mean quality: 3.62, Std Dev: 0.48. Mean process: 49.81, Std Dev: 8.99. Raw milk volume: 63931 liters."
143,Weekly,2024-05-26,2024-06-01,"Weekly production summary: Total output 38486 liters. Quality metrics within acceptable ranges. Mean quality: 3.31, Std Dev: 0.48. Mean process: 60.09, Std Dev: 11.68. Raw milk volume: 65222 liters."
144,Weekly,2024-08-08,2024-08-14,"Weekly production summary: Total output 34082 liters. Quality metrics within acceptable ranges. Mean quality: 3.53, Std Dev: 0.49. Mean process: 64.15, Std Dev: 7.79. Raw milk volume: 53976 liters."
145,Monthly,2024-05-17,2024-06-15,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.52, Std Dev: 0.54. Mean process: 52.61, Std Dev: 11.14. Raw milk volume: 287500 liters."
146,Monthly,2024-09-15,2024-10-14,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.53, Std Dev: 0.48. Mean process: 63.16, Std Dev: 12.27. Raw milk volume: 280301 liters."
147,Monthly,2024-09-30,2024-10-29,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.52, Std Dev: 0.51. Mean process: 57.7, Std Dev: 9.15. Raw milk volume: 258446 liters."
148,Weekly,2024-09-13,2024-09-19,"Weekly production summary: Total output 37777 liters. Quality metrics within acceptable ranges. Mean quality: 3.58, Std Dev: 0.46. Mean process: 60.36, Std Dev: 9.52. Raw milk volume: 64747 liters."
149,Monthly,2024-09-14,2024-10-13,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.55, Std Dev: 0.52. Mean process: 65.19, Std Dev: 9.49. Raw milk volume: 283579 liters."
150,Monthly,2024-09-17,2024-10-16,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.47, Std Dev: 0.45. Mean process: 57.78, Std Dev: 10.38. Raw milk volume: 263517 liters."
151,Weekly,2024-06-14,2024-06-20,"Weekly production summary: Total output 37206 liters. Quality metrics within acceptable ranges. Mean quality: 3.58, Std Dev: 0.45. Mean process: 64.35, Std Dev: 11.36. Raw milk volume: 52538 liters."
152,Monthly,2024-06-06,2024-07-05,"Monthly overview: Production decreased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.54, Std Dev: 0.59. Mean process: 56.13, Std Dev: 8.76. Raw milk volume: 244020 liters."
153,Monthly,2024-10-12,2024-11-10,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.32, Std Dev: 0.57. Mean process: 63.27, Std Dev: 9.94. Raw milk volume: 210561 liters."
154,Weekly,2024-05-21,2024-05-27,"Weekly production summary: Total output 33788 liters. Quality metrics within acceptable ranges. Mean quality: 3.53, Std Dev: 0.44. Mean process: 72.23, Std Dev: 10.13. Raw milk volume: 62551 liters."
155,Weekly,2024-09-06,2024-09-12,"Weekly production summary: Total output 33505 liters. Quality metrics within acceptable ranges. Mean quality: 3.51, Std Dev: 0.54. Mean process: 62.41, Std Dev: 10.22. Raw milk volume: 52104 liters."
156,Monthly,2024-07-10,2024-08-08,"Monthly overview: Production decreased by 0% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.42, Std Dev: 0.52. Mean process: 69.41, Std Dev: 11.35. Raw milk volume: 271121 liters."
157,Monthly,2024-07-11,2024-08-09,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.66, Std Dev: 0.47. Mean process: 55.05, Std Dev: 9.87. Raw milk volume: 227110 liters."
158,Monthly,2024-07-06,2024-08-04,"Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.51, Std Dev: 0.55. Mean process: 51.54, Std Dev: 11.53. Raw milk volume: 291163 liters."
159,Weekly,2024-10-05,2024-10-11,"Weekly production summary: Total output 39432 liters. Quality metrics within acceptable ranges. Mean quality: 3.48, Std Dev: 0.48. Mean process: 54.94, Std Dev: 8.35. Raw milk volume: 62464 liters."
160,Monthly,2024-04-23,2024-05-22,"Monthly overview: Production decreased by 0% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.58, Std Dev: 0.5. Mean process: 53.55, Std Dev: 8.7. Raw milk volume: 239139 liters."
161,Monthly,2024-10-04,2024-11-02,"Monthly overview: Production increased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.47, Std Dev: 0.58. Mean process: 58.7, Std Dev: 8.5. Raw milk volume: 270545 liters."
162,Weekly,2024-07-25,2024-07-31,"Weekly production summary: Total output 33595 liters. Quality metrics within acceptable ranges. Mean quality: 3.48, Std Dev: 0.49. Mean process: 46.52, Std Dev: 9.95. Raw milk volume: 58943 liters."
163,Monthly,2024-07-25,2024-08-23,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.48, Std Dev: 0.53. Mean process: 69.24, Std Dev: 11.13. Raw milk volume: 250968 liters."
164,Monthly,2024-08-29,2024-09-27,"Monthly overview: Production increased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.47, Std Dev: 0.44. Mean process: 72.87, Std Dev: 10.06. Raw milk volume: 252994 liters."
165,Weekly,2024-10-02,2024-10-08,"Weekly production summary: Total output 37657 liters. Quality metrics within acceptable ranges. Mean quality: 3.5, Std Dev: 0.5. Mean process: 60.99, Std Dev: 9.86. Raw milk volume: 54182 liters."
166,Weekly,2024-10-15,2024-10-21,"Weekly production summary: Total output 36455 liters. Quality metrics within acceptable ranges. Mean quality: 3.44, Std Dev: 0.47. Mean process: 59.84, Std Dev: 9.46. Raw milk volume: 69395 liters."
167,Weekly,2024-05-08,2024-05-14,"Weekly production summary: Total output 37022 liters. Quality metrics within acceptable ranges. Mean quality: 3.43, Std Dev: 0.51. Mean process: 58.73, Std Dev: 11.5. Raw milk volume: 54446 liters."
168,Monthly,2024-05-27,2024-06-25,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.23, Std Dev: 0.55. Mean process: 66.23, Std Dev: 7.93. Raw milk volume: 234099 liters."
169,Monthly,2024-06-24,2024-07-23,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.47, Std Dev: 0.48. Mean process: 52.96, Std Dev: 9.22. Raw milk volume: 259598 liters."
170,Monthly,2024-06-26,2024-07-25,"Monthly overview: Production increased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.39, Std Dev: 0.59. Mean process: 64.68, Std Dev: 11.27. Raw milk volume: 236471 liters."
171,Monthly,2024-06-09,2024-07-08,"Monthly overview: Production decreased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.57, Std Dev: 0.44. Mean process: 57.38, Std Dev: 10.49. Raw milk volume: 261644 liters."
172,Weekly,2024-09-14,2024-09-20,"Weekly production summary: Total output 38837 liters. Quality metrics within acceptable ranges. Mean quality: 3.38, Std Dev: 0.54. Mean process: 58.8, Std Dev: 9.63. Raw milk volume: 51706 liters."
173,Monthly,2024-06-04,2024-07-03,"Monthly overview: Production increased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.57, Std Dev: 0.52. Mean process: 58.2, Std Dev: 11.16. Raw milk volume: 208993 liters."
174,Weekly,2024-09-15,2024-09-21,"Weekly production summary: Total output 30508 liters. Quality metrics within acceptable ranges. Mean quality: 3.39, Std Dev: 0.53. Mean process: 62.97, Std Dev: 9.69. Raw milk volume: 58102 liters."
175,Weekly,2024-10-01,2024-10-07,"Weekly production summary: Total output 30333 liters. Quality metrics within acceptable ranges. Mean quality: 3.53, Std Dev: 0.44. Mean process: 64.62, Std Dev: 9.82. Raw milk volume: 54993 liters."
176,Weekly,2024-05-16,2024-05-22,"Weekly production summary: Total output 37758 liters. Quality metrics within acceptable ranges. Mean quality: 3.45, Std Dev: 0.55. Mean process: 56.48, Std Dev: 8.59. Raw milk volume: 53748 liters."
177,Weekly,2024-07-21,2024-07-27,"Weekly production summary: Total output 34198 liters. Quality metrics within acceptable ranges. Mean quality: 3.34, Std Dev: 0.53. Mean process: 53.6, Std Dev: 11.75. Raw milk volume: 62087 liters."
178,Weekly,2024-08-17,2024-08-23,"Weekly production summary: Total output 39949 liters. Quality metrics within acceptable ranges. Mean quality: 3.29, Std Dev: 0.58. Mean process: 61.06, Std Dev: 9.9. Raw milk volume: 53753 liters."
179,Weekly,2024-06-21,2024-06-27,"Weekly production summary: Total output 31771 liters. Quality metrics within acceptable ranges. Mean quality: 3.45, Std Dev: 0.52. Mean process: 59.81, Std Dev: 11.1. Raw milk volume: 68962 liters."
180,Weekly,2024-10-19,2024-10-25,"Weekly production summary: Total output 35111 liters. Quality metrics within acceptable ranges. Mean quality: 3.51, Std Dev: 0.51. Mean process: 58.18, Std Dev: 9.94. Raw milk volume: 68867 liters."
181,Monthly,2024-07-08,2024-08-06,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.53, Std Dev: 0.41. Mean process: 53.26, Std Dev: 10.74. Raw milk volume: 209961 liters."
182,Weekly,2024-05-11,2024-05-17,"Weekly production summary: Total output 34941 liters. Quality metrics within acceptable ranges. Mean quality: 3.52, Std Dev: 0.49. Mean process: 60.09, Std Dev: 10.35. Raw milk volume: 69674 liters."
183,Weekly,2024-09-23,2024-09-29,"Weekly production summary: Total output 39272 liters. Quality metrics within acceptable ranges. Mean quality: 3.45, Std Dev: 0.46. Mean process: 60.98, Std Dev: 9.02. Raw milk volume: 51345 liters."
184,Monthly,2024-08-03,2024-09-01,"Monthly overview: Production increased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.54, Std Dev: 0.41. Mean process: 65.15, Std Dev: 10.47. Raw milk volume: 286706 liters."
185,Monthly,2024-05-05,2024-06-03,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.53, Std Dev: 0.55. Mean process: 68.33, Std Dev: 11.01. Raw milk volume: 284874 liters."
186,Monthly,2024-04-24,2024-05-23,"Monthly overview: Production increased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.32, Std Dev: 0.44. Mean process: 56.88, Std Dev: 10.03. Raw milk volume: 264251 liters."
187,Weekly,2024-07-15,2024-07-21,"Weekly production summary: Total output 35934 liters. Quality metrics within acceptable ranges. Mean quality: 3.55, Std Dev: 0.46. Mean process: 60.93, Std Dev: 9.24. Raw milk volume: 65064 liters."
188,Weekly,2024-07-15,2024-07-21,"Weekly production summary: Total output 32885 liters. Quality metrics within acceptable ranges. Mean quality: 3.44, Std Dev: 0.43. Mean process: 55.38, Std Dev: 8.65. Raw milk volume: 67096 liters."
189,Monthly,2024-08-19,2024-09-17,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.4, Std Dev: 0.55. Mean process: 55.25, Std Dev: 12.63. Raw milk volume: 263372 liters."
190,Monthly,2024-07-15,2024-08-13,"Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.55, Std Dev: 0.51. Mean process: 55.71, Std Dev: 10.7. Raw milk volume: 235179 liters."
191,Monthly,2024-10-04,2024-11-02,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.44, Std Dev: 0.51. Mean process: 72.8, Std Dev: 9.9. Raw milk volume: 211359 liters."
192,Monthly,2024-10-10,2024-11-08,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.61, Std Dev: 0.46. Mean process: 59.83, Std Dev: 11.77. Raw milk volume: 231963 liters."
193,Monthly,2024-08-10,2024-09-08,"Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.44, Std Dev: 0.59. Mean process: 63.54, Std Dev: 9.44. Raw milk volume: 287580 liters."
194,Monthly,2024-06-26,2024-07-25,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.56, Std Dev: 0.55. Mean process: 63.11, Std Dev: 8.43. Raw milk volume: 264789 liters."
195,Monthly,2024-05-27,2024-06-25,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.43, Std Dev: 0.49. Mean process: 59.63, Std Dev: 10.62. Raw milk volume: 227802 liters."
196,Monthly,2024-09-23,2024-10-22,"Monthly overview: Production decreased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.52, Std Dev: 0.43. Mean process: 61.9, Std Dev: 10.61. Raw milk volume: 244608 liters."
197,Monthly,2024-10-09,2024-11-07,"Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.56, Std Dev: 0.55. Mean process: 64.17, Std Dev: 10.46. Raw milk volume: 291905 liters."
198,Monthly,2024-08-07,2024-09-05,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.49, Std Dev: 0.42. Mean process: 62.15, Std Dev: 10.21. Raw milk volume: 267715 liters."
199,Weekly,2024-05-08,2024-05-14,"Weekly production summary: Total output 33954 liters. Quality metrics within acceptable ranges. Mean quality: 3.53, Std Dev: 0.44. Mean process: 54.59, Std Dev: 11.05. Raw milk volume: 63317 liters."
200,Monthly,2024-08-07,2024-09-05,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.5, Std Dev: 0.53. Mean process: 60.14, Std Dev: 10.03. Raw milk volume: 290519 liters."
201,Monthly,2024-08-25,2024-09-23,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.59, Std Dev: 0.47. Mean process: 60.48, Std Dev: 9.54. Raw milk volume: 258743 liters."
202,Weekly,2024-05-10,2024-05-16,"Weekly production summary: Total output 34820 liters. Quality metrics within acceptable ranges. Mean quality: 3.46, Std Dev: 0.48. Mean process: 61.11, Std Dev: 9.52. Raw milk volume: 57261 liters."
203,Monthly,2024-09-03,2024-10-02,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.63, Std Dev: 0.46. Mean process: 59.07, Std Dev: 9.56. Raw milk volume: 240135 liters."
204,Monthly,2024-07-22,2024-08-20,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.64, Std Dev: 0.51. Mean process: 65.16, Std Dev: 8.51. Raw milk volume: 269588 liters."
205,Monthly,2024-07-13,2024-08-11,"Monthly overview: Production increased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.53, Std Dev: 0.54. Mean process: 60.41, Std Dev: 11.07. Raw milk volume: 243357 liters."
206,Monthly,2024-09-05,2024-10-04,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.45, Std Dev: 0.57. Mean process: 71.49, Std Dev: 9.64. Raw milk volume: 235509 liters."
207,Monthly,2024-06-09,2024-07-08,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.46, Std Dev: 0.57. Mean process: 67.9, Std Dev: 9.48. Raw milk volume: 215814 liters."
208,Weekly,2024-06-22,2024-06-28,"Weekly production summary: Total output 31958 liters. Quality metrics within acceptable ranges. Mean quality: 3.46, Std Dev: 0.49. Mean process: 53.28, Std Dev: 9.08. Raw milk volume: 67559 liters."
209,Weekly,2024-05-29,2024-06-04,"Weekly production summary: Total output 33545 liters. Quality metrics within acceptable ranges. Mean quality: 3.4, Std Dev: 0.46. Mean process: 59.83, Std Dev: 10.23. Raw milk volume: 65866 liters."
210,Monthly,2024-09-09,2024-10-08,"Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.66, Std Dev: 0.45. Mean process: 64.92, Std Dev: 9.79. Raw milk volume: 299641 liters."
211,Monthly,2024-05-11,2024-06-09,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.5, Std Dev: 0.53. Mean process: 54.39, Std Dev: 10.38. Raw milk volume: 238829 liters."
212,Weekly,2024-07-01,2024-07-07,"Weekly production summary: Total output 32939 liters. Quality metrics within acceptable ranges. Mean quality: 3.52, Std Dev: 0.52. Mean process: 61.45, Std Dev: 12.46. Raw milk volume: 59904 liters."
213,Weekly,2024-09-06,2024-09-12,"Weekly production summary: Total output 38751 liters. Quality metrics within acceptable ranges. Mean quality: 3.44, Std Dev: 0.47. Mean process: 56.88, Std Dev: 9.44. Raw milk volume: 54147 liters."
214,Monthly,2024-04-30,2024-05-29,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.44, Std Dev: 0.56. Mean process: 67.1, Std Dev: 9.43. Raw milk volume: 272529 liters."
215,Monthly,2024-09-04,2024-10-03,"Monthly overview: Production decreased by 3% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.42, Std Dev: 0.52. Mean process: 57.24, Std Dev: 10.63. Raw milk volume: 283606 liters."
216,Monthly,2024-05-11,2024-06-09,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.52, Std Dev: 0.42. Mean process: 67.74, Std Dev: 11.8. Raw milk volume: 275243 liters."
217,Monthly,2024-07-22,2024-08-20,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.44, Std Dev: 0.48. Mean process: 61.43, Std Dev: 10.33. Raw milk volume: 257733 liters."
218,Monthly,2024-05-27,2024-06-25,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.57, Std Dev: 0.6. Mean process: 59.12, Std Dev: 9.2. Raw milk volume: 233092 liters."
219,Monthly,2024-05-14,2024-06-12,"Monthly overview: Production decreased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.36, Std Dev: 0.46. Mean process: 59.83, Std Dev: 11.79. Raw milk volume: 252521 liters."
220,Monthly,2024-05-06,2024-06-04,"Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.45, Std Dev: 0.51. Mean process: 59.92, Std Dev: 11.19. Raw milk volume: 282502 liters."
221,Weekly,2024-05-21,2024-05-27,"Weekly production summary: Total output 32444 liters. Quality metrics within acceptable ranges. Mean quality: 3.75, Std Dev: 0.47. Mean process: 57.55, Std Dev: 11.04. Raw milk volume: 68443 liters."
222,Monthly,2024-05-08,2024-06-06,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.57, Std Dev: 0.59. Mean process: 62.92, Std Dev: 9.64. Raw milk volume: 215525 liters."
223,Monthly,2024-08-17,2024-09-15,"Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.56, Std Dev: 0.56. Mean process: 64.1, Std Dev: 10.51. Raw milk volume: 281057 liters."
224,Weekly,2024-09-19,2024-09-25,"Weekly production summary: Total output 38561 liters. Quality metrics within acceptable ranges. Mean quality: 3.61, Std Dev: 0.56. Mean process: 66.91, Std Dev: 10.65. Raw milk volume: 62464 liters."
225,Monthly,2024-10-15,2024-11-13,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.48, Std Dev: 0.51. Mean process: 66.03, Std Dev: 9.18. Raw milk volume: 238974 liters."
226,Monthly,2024-06-20,2024-07-19,"Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.54, Std Dev: 0.48. Mean process: 60.14, Std Dev: 11.28. Raw milk volume: 281399 liters."
227,Weekly,2024-08-18,2024-08-24,"Weekly production summary: Total output 31625 liters. Quality metrics within acceptable ranges. Mean quality: 3.52, Std Dev: 0.5. Mean process: 53.2, Std Dev: 10.75. Raw milk volume: 56808 liters."
228,Weekly,2024-06-12,2024-06-18,"Weekly production summary: Total output 31330 liters. Quality metrics within acceptable ranges. Mean quality: 3.56, Std Dev: 0.61. Mean process: 58.46, Std Dev: 10.22. Raw milk volume: 55146 liters."
229,Weekly,2024-05-25,2024-05-31,"Weekly production summary: Total output 39043 liters. Quality metrics within acceptable ranges. Mean quality: 3.52, Std Dev: 0.58. Mean process: 59.52, Std Dev: 10.28. Raw milk volume: 52459 liters."
230,Weekly,2024-04-22,2024-04-28,"Weekly production summary: Total output 36693 liters. Quality metrics within acceptable ranges. Mean quality: 3.56, Std Dev: 0.51. Mean process: 57.77, Std Dev: 10.19. Raw milk volume: 64762 liters."
231,Monthly,2024-06-17,2024-07-16,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.61, Std Dev: 0.45. Mean process: 60.66, Std Dev: 9.3. Raw milk volume: 230340 liters."
232,Monthly,2024-09-06,2024-10-05,"Monthly overview: Production decreased by 1% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.62, Std Dev: 0.42. Mean process: 57.21, Std Dev: 10.38. Raw milk volume: 292141 liters."
233,Monthly,2024-05-05,2024-06-03,"Monthly overview: Production increased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.66, Std Dev: 0.5. Mean process: 57.22, Std Dev: 11.88. Raw milk volume: 230595 liters."
234,Monthly,2024-09-21,2024-10-20,"Monthly overview: Production increased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.36, Std Dev: 0.39. Mean process: 62.2, Std Dev: 9.5. Raw milk volume: 277304 liters."
235,Weekly,2024-07-13,2024-07-19,"Weekly production summary: Total output 31880 liters. Quality metrics within acceptable ranges. Mean quality: 3.4, Std Dev: 0.54. Mean process: 61.22, Std Dev: 9.44. Raw milk volume: 67844 liters."
236,Weekly,2024-08-25,2024-08-31,"Weekly production summary: Total output 32441 liters. Quality metrics within acceptable ranges. Mean quality: 3.37, Std Dev: 0.54. Mean process: 63.25, Std Dev: 9.9. Raw milk volume: 58704 liters."
237,Weekly,2024-05-05,2024-05-11,"Weekly production summary: Total output 30977 liters. Quality metrics within acceptable ranges. Mean quality: 3.68, Std Dev: 0.45. Mean process: 52.37, Std Dev: 9.31. Raw milk volume: 55436 liters."
238,Monthly,2024-08-15,2024-09-13,"Monthly overview: Production increased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.5, Std Dev: 0.51. Mean process: 58.79, Std Dev: 10.35. Raw milk volume: 237828 liters."
239,Monthly,2024-05-16,2024-06-14,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.37, Std Dev: 0.57. Mean process: 59.59, Std Dev: 11.12. Raw milk volume: 290266 liters."
